objdatains	3000000	1	3.69	3.60	0.02	0.02	AB
objdatains	3000000	2	3.68	3.63	0.02	0.02	BA
objalloc	3000000	1	2.98	2.96	0.02	0.02	AB
objalloc	3000000	2	2.95	2.96	0.02	0.02	BA
objchurn	3000000	1	4.47	4.43	0.02	0.02	AB
objchurn	3000000	2	4.45	4.44	0.02	0.02	BA
objmap	3000000	1	0.54	0.54	0.02	0.02	AB
objmap	3000000	2	0.55	0.56	0.02	0.02	BA
arith	150000000	1	7.23	7.39	0.02	0.02	AB
arith	150000000	2	7.15	7.37	0.02	0.02	BA
prop	90000000	1	7.08	7.01	0.03	0.02	AB
prop	90000000	2	7.04	7.07	0.03	0.02	BA
calls	60000000	1	6.40	6.43	0.02	0.02	AB
calls	60000000	2	6.50	6.47	0.02	0.02	BA
str	28000000	1	4.60	4.49	0.02	0.02	AB
str	28000000	2	4.52	4.49	0.02	0.02	BA
arr	30000000	1	4.51	4.57	0.02	0.02	AB
arr	30000000	2	4.47	4.54	0.02	0.02	BA
re	12000000	1	5.57	5.54	0.03	0.02	AB
re	12000000	2	5.55	5.55	0.03	0.02	BA
