backtrace	150000	1	0.13	0.09	0.03	0.03	AB
backtrace	150000	2	0.13	0.09	0.03	0.03	BA
objdropdef	3000000	1	3.10	3.09	0.03	0.02	AB
objdropdef	3000000	2	3.09	3.09	0.03	0.02	BA
objchurn	3000000	1	3.55	3.54	0.03	0.03	AB
objchurn	3000000	2	3.54	3.56	0.03	0.03	BA
objdatains	3000000	1	2.91	2.90	0.02	0.03	AB
objdatains	3000000	2	2.92	2.90	0.02	0.03	BA
objalloc	3000000	1	2.42	2.43	0.03	0.03	AB
objalloc	3000000	2	2.43	2.43	0.03	0.03	BA
objallocni	3000000	1	2.21	2.22	0.03	0.03	AB
objallocni	3000000	2	2.24	2.23	0.03	0.03	BA
objmap	3000000	1	0.37	0.38	0.02	0.02	AB
objmap	3000000	2	0.37	0.37	0.02	0.02	BA
arith	150000000	1	7.26	7.18	0.02	0.03	AB
arith	150000000	2	9.67	9.45	0.02	0.03	BA
prop	90000000	1	7.05	7.00	0.02	0.02	AB
prop	90000000	2	7.06	7.00	0.02	0.02	BA
calls	60000000	1	6.41	6.43	0.02	0.02	AB
calls	60000000	2	6.39	6.38	0.02	0.02	BA
str	28000000	1	4.54	4.45	0.02	0.02	AB
str	28000000	2	4.48	4.45	0.02	0.02	BA
arr	30000000	1	4.72	4.67	0.02	0.03	AB
arr	30000000	2	4.67	4.67	0.02	0.03	BA
re	12000000	1	5.51	5.52	0.03	0.03	AB
re	12000000	2	5.52	5.52	0.03	0.03	BA
