strmap	10000000	1	1.70	1.03	0.02	0.03	AB
strmap	10000000	2	1.70	1.04	0.02	0.03	BA
missload	10000000	1	2.79	2.80	0.02	0.02	AB
missload	10000000	2	2.80	2.82	0.02	0.02	BA
arrfilter	10000000	1	1.80	1.80	0.02	0.02	AB
arrfilter	10000000	2	1.82	1.80	0.02	0.02	BA
arrmap	10000000	1	1.17	1.15	0.02	0.02	AB
arrmap	10000000	2	1.17	1.16	0.02	0.02	BA
refl	10000000	1	3.51	3.54	0.03	0.02	AB
refl	10000000	2	3.49	3.52	0.03	0.02	BA
hostargs	10000000	1	2.03	2.00	0.02	0.02	AB
hostargs	10000000	2	2.00	2.01	0.02	0.02	BA
backtrace	2400000	1	1.13	1.11	0.02	0.02	AB
backtrace	2400000	2	1.12	1.12	0.02	0.02	BA
objdropdef	3000000	1	3.11	3.10	0.02	0.02	AB
objdropdef	3000000	2	3.10	3.11	0.02	0.02	BA
objchurn	3000000	1	3.55	3.54	0.02	0.02	AB
objchurn	3000000	2	3.56	3.54	0.02	0.02	BA
objdatains	3000000	1	2.91	2.91	0.03	0.02	AB
objdatains	3000000	2	2.89	2.89	0.03	0.02	BA
objalloc	3000000	1	2.43	2.42	0.02	0.02	AB
objalloc	3000000	2	2.41	2.42	0.02	0.02	BA
objallocni	3000000	1	2.22	2.22	0.02	0.02	AB
objallocni	3000000	2	2.23	2.22	0.02	0.02	BA
objmap	3000000	1	0.37	0.37	0.02	0.02	AB
objmap	3000000	2	0.37	0.38	0.02	0.02	BA
arith	150000000	1	7.17	7.11	0.02	0.02	AB
arith	150000000	2	7.06	7.09	0.02	0.02	BA
prop	90000000	1	6.94	6.96	0.03	0.02	AB
prop	90000000	2	6.97	6.97	0.03	0.02	BA
calls	60000000	1	6.40	6.40	0.02	0.02	AB
calls	60000000	2	6.37	6.36	0.02	0.02	BA
str	28000000	1	4.43	4.44	0.02	0.02	AB
str	28000000	2	4.43	4.42	0.02	0.02	BA
arr	30000000	1	4.47	4.54	0.02	0.02	AB
arr	30000000	2	4.45	4.53	0.02	0.02	BA
re	12000000	1	5.50	5.53	0.02	0.02	AB
re	12000000	2	5.50	5.53	0.02	0.02	BA
