arrload	10000000	1	3.37	2.95	0.03	0.03	AB
arrload	10000000	2	3.36	2.92	0.03	0.03	BA
arrload	10000000	3	3.38	2.93	0.03	0.03	AB
arrload	10000000	4	3.37	2.97	0.03	0.03	BA
arrload	10000000	5	3.41	2.96	0.03	0.03	AB
strmap	10000000	1	1.04	1.04	0.02	0.02	AB
strmap	10000000	2	1.04	1.02	0.02	0.02	BA
strmap	10000000	3	1.04	1.03	0.02	0.02	AB
strmap	10000000	4	1.03	1.02	0.02	0.02	BA
strmap	10000000	5	1.04	1.02	0.02	0.02	AB
missload	10000000	1	2.81	2.82	0.03	0.02	AB
missload	10000000	2	2.79	2.82	0.03	0.02	BA
missload	10000000	3	2.84	2.84	0.03	0.02	AB
missload	10000000	4	2.81	2.83	0.03	0.02	BA
missload	10000000	5	2.80	2.79	0.03	0.02	AB
arrfilter	10000000	1	1.82	1.82	0.02	0.02	AB
arrfilter	10000000	2	1.82	1.81	0.02	0.02	BA
arrfilter	10000000	3	1.82	1.82	0.02	0.02	AB
arrfilter	10000000	4	1.81	1.81	0.02	0.02	BA
arrfilter	10000000	5	1.81	1.81	0.02	0.02	AB
arrmap	10000000	1	1.17	1.16	0.03	0.02	AB
arrmap	10000000	2	1.18	1.17	0.03	0.02	BA
arrmap	10000000	3	1.18	1.17	0.03	0.02	AB
arrmap	10000000	4	1.16	1.16	0.03	0.02	BA
arrmap	10000000	5	1.17	1.16	0.03	0.02	AB
refl	10000000	1	3.59	3.57	0.02	0.02	AB
refl	10000000	2	3.53	3.56	0.02	0.02	BA
refl	10000000	3	3.52	3.59	0.02	0.02	AB
refl	10000000	4	3.58	3.60	0.02	0.02	BA
refl	10000000	5	3.62	3.58	0.02	0.02	AB
hostargs	10000000	1	1.99	1.99	0.03	0.02	AB
hostargs	10000000	2	2.00	2.00	0.03	0.02	BA
hostargs	10000000	3	2.01	2.02	0.03	0.02	AB
hostargs	10000000	4	2.00	1.99	0.03	0.02	BA
hostargs	10000000	5	2.00	1.99	0.03	0.02	AB
backtrace	2400000	1	1.12	1.13	0.02	0.02	AB
backtrace	2400000	2	1.12	1.11	0.02	0.02	BA
backtrace	2400000	3	1.12	1.12	0.02	0.02	AB
backtrace	2400000	4	1.12	1.13	0.02	0.02	BA
backtrace	2400000	5	1.13	1.12	0.02	0.02	AB
objdropdef	3000000	1	3.14	3.09	0.02	0.02	AB
objdropdef	3000000	2	3.09	3.09	0.02	0.02	BA
objdropdef	3000000	3	3.10	3.13	0.02	0.02	AB
objdropdef	3000000	4	3.09	3.08	0.02	0.02	BA
objdropdef	3000000	5	3.10	3.09	0.02	0.02	AB
objchurn	3000000	1	3.60	3.62	0.02	0.02	AB
objchurn	3000000	2	3.59	3.57	0.02	0.02	BA
objchurn	3000000	3	3.56	3.58	0.02	0.02	AB
objchurn	3000000	4	3.56	3.58	0.02	0.02	BA
objchurn	3000000	5	3.54	3.58	0.02	0.02	AB
objdatains	3000000	1	2.90	2.93	0.02	0.02	AB
objdatains	3000000	2	2.91	2.92	0.02	0.02	BA
objdatains	3000000	3	2.91	2.90	0.02	0.02	AB
objdatains	3000000	4	2.89	2.89	0.02	0.02	BA
objdatains	3000000	5	2.91	2.90	0.02	0.02	AB
objalloc	3000000	1	2.42	2.47	0.02	0.02	AB
objalloc	3000000	2	2.44	2.42	0.02	0.02	BA
objalloc	3000000	3	2.43	2.42	0.02	0.02	AB
objalloc	3000000	4	2.43	2.43	0.02	0.02	BA
objalloc	3000000	5	2.42	2.42	0.02	0.02	AB
objallocni	3000000	1	2.21	2.21	0.02	0.02	AB
objallocni	3000000	2	2.22	2.22	0.02	0.02	BA
objallocni	3000000	3	2.22	2.22	0.02	0.02	AB
objallocni	3000000	4	2.21	2.22	0.02	0.02	BA
objallocni	3000000	5	2.22	2.24	0.02	0.02	AB
objmap	3000000	1	0.38	0.38	0.02	0.02	AB
objmap	3000000	2	0.37	0.37	0.02	0.02	BA
objmap	3000000	3	0.37	0.37	0.02	0.02	AB
objmap	3000000	4	0.37	0.37	0.02	0.02	BA
objmap	3000000	5	0.37	0.37	0.02	0.02	AB
arith	150000000	1	7.03	7.01	0.02	0.02	AB
arith	150000000	2	7.09	7.03	0.02	0.02	BA
arith	150000000	3	7.06	7.05	0.02	0.02	AB
arith	150000000	4	7.06	7.08	0.02	0.02	BA
arith	150000000	5	7.11	7.06	0.02	0.02	AB
prop	90000000	1	6.97	6.96	0.02	0.02	AB
prop	90000000	2	6.95	6.94	0.02	0.02	BA
prop	90000000	3	6.94	6.95	0.02	0.02	AB
prop	90000000	4	6.98	6.97	0.02	0.02	BA
prop	90000000	5	6.95	6.97	0.02	0.02	AB
calls	60000000	1	6.38	6.37	0.02	0.02	AB
calls	60000000	2	6.36	6.37	0.02	0.02	BA
calls	60000000	3	6.38	6.39	0.02	0.02	AB
calls	60000000	4	6.38	6.37	0.02	0.02	BA
calls	60000000	5	6.36	6.34	0.02	0.02	AB
str	28000000	1	4.44	4.47	0.02	0.02	AB
str	28000000	2	4.41	4.41	0.02	0.02	BA
str	28000000	3	4.41	4.42	0.02	0.02	AB
str	28000000	4	4.44	4.48	0.02	0.02	BA
str	28000000	5	4.50	4.41	0.02	0.02	AB
arr	30000000	1	4.53	4.54	0.02	0.02	AB
arr	30000000	2	4.56	4.60	0.02	0.02	BA
arr	30000000	3	4.55	4.52	0.02	0.02	AB
arr	30000000	4	4.55	4.60	0.02	0.02	BA
arr	30000000	5	4.55	4.52	0.02	0.02	AB
re	12000000	1	5.55	5.47	0.02	0.02	AB
re	12000000	2	5.53	5.52	0.02	0.02	BA
re	12000000	3	5.51	5.52	0.02	0.02	AB
re	12000000	4	5.54	5.50	0.02	0.02	BA
re	12000000	5	5.53	5.52	0.02	0.02	AB
