arrload	10000000	1	3.39	2.96	0.02	0.03	AB
arrload	10000000	2	3.39	2.93	0.02	0.03	BA
strmap	10000000	1	1.04	1.02	0.02	0.02	AB
strmap	10000000	2	1.04	1.03	0.02	0.02	BA
missload	10000000	1	2.77	2.82	0.02	0.02	AB
missload	10000000	2	2.84	2.81	0.02	0.02	BA
arrfilter	10000000	1	1.83	1.82	0.02	0.02	AB
arrfilter	10000000	2	1.82	1.82	0.02	0.02	BA
arrmap	10000000	1	1.17	1.16	0.02	0.02	AB
arrmap	10000000	2	1.17	1.16	0.02	0.02	BA
refl	10000000	1	3.63	3.57	0.03	0.02	AB
refl	10000000	2	3.54	3.57	0.03	0.02	BA
hostargs	10000000	1	1.99	1.99	0.02	0.02	AB
hostargs	10000000	2	1.99	2.00	0.02	0.02	BA
backtrace	2400000	1	1.13	1.12	0.02	0.02	AB
backtrace	2400000	2	1.13	1.12	0.02	0.02	BA
objdropdef	3000000	1	3.09	3.14	0.02	0.02	AB
objdropdef	3000000	2	3.10	3.11	0.02	0.02	BA
objchurn	3000000	1	3.57	3.56	0.02	0.03	AB
objchurn	3000000	2	3.56	3.55	0.02	0.03	BA
objdatains	3000000	1	2.92	2.93	0.02	0.02	AB
objdatains	3000000	2	2.93	2.90	0.02	0.02	BA
objalloc	3000000	1	2.42	2.43	0.03	0.02	AB
objalloc	3000000	2	2.44	2.44	0.03	0.02	BA
objallocni	3000000	1	2.22	2.23	0.02	0.02	AB
objallocni	3000000	2	2.24	2.23	0.02	0.02	BA
objmap	3000000	1	0.37	0.37	0.02	0.02	AB
objmap	3000000	2	0.38	0.37	0.02	0.02	BA
arith	150000000	1	7.07	7.02	0.02	0.02	AB
arith	150000000	2	7.09	7.04	0.02	0.02	BA
prop	90000000	1	7.00	6.96	0.02	0.02	AB
prop	90000000	2	6.92	6.98	0.02	0.02	BA
calls	60000000	1	6.42	6.40	0.02	0.02	AB
calls	60000000	2	6.38	6.42	0.02	0.02	BA
str	28000000	1	4.41	4.44	0.02	0.02	AB
str	28000000	2	4.44	4.44	0.02	0.02	BA
arr	30000000	1	4.52	4.52	0.02	0.02	AB
arr	30000000	2	4.58	4.50	0.02	0.02	BA
re	12000000	1	5.55	5.50	0.02	0.02	AB
re	12000000	2	5.53	5.48	0.02	0.02	BA
