mc2	20000000	1	3.41	3.07	0.02	0.02	AB
mc2	20000000	2	3.39	3.12	0.02	0.02	BA
mc2	20000000	3	3.44	3.12	0.02	0.02	AB
mc2	20000000	4	3.42	3.15	0.02	0.02	BA
mc2	20000000	5	3.41	3.14	0.02	0.02	AB
missload	10000000	1	2.82	2.80	0.03	0.02	AB
missload	10000000	2	2.81	2.81	0.03	0.02	BA
missload	10000000	3	2.81	2.82	0.03	0.02	AB
missload	10000000	4	2.80	2.82	0.03	0.02	BA
missload	10000000	5	2.82	2.82	0.03	0.02	AB
arrload	10000000	1	2.96	2.99	0.02	0.02	AB
arrload	10000000	2	2.97	2.99	0.02	0.02	BA
arrload	10000000	3	2.96	2.98	0.02	0.02	AB
arrload	10000000	4	2.96	2.99	0.02	0.02	BA
arrload	10000000	5	2.95	2.98	0.02	0.02	AB
strmap	10000000	1	1.04	1.03	0.02	0.02	AB
strmap	10000000	2	1.04	1.03	0.02	0.02	BA
strmap	10000000	3	1.04	1.03	0.02	0.02	AB
strmap	10000000	4	1.04	1.03	0.02	0.02	BA
strmap	10000000	5	1.03	1.02	0.02	0.02	AB
arrfilter	10000000	1	1.80	1.84	0.02	0.02	AB
arrfilter	10000000	2	1.82	1.84	0.02	0.02	BA
arrfilter	10000000	3	1.79	1.84	0.02	0.02	AB
arrfilter	10000000	4	1.82	1.83	0.02	0.02	BA
arrfilter	10000000	5	1.81	1.84	0.02	0.02	AB
arrmap	10000000	1	1.16	1.16	0.03	0.02	AB
arrmap	10000000	2	1.16	1.17	0.03	0.02	BA
arrmap	10000000	3	1.16	1.16	0.03	0.02	AB
arrmap	10000000	4	1.17	1.16	0.03	0.02	BA
arrmap	10000000	5	1.16	1.16	0.03	0.02	AB
refl	10000000	1	3.78	3.57	0.02	0.02	AB
refl	10000000	2	3.56	3.53	0.02	0.02	BA
refl	10000000	3	3.58	3.56	0.02	0.02	AB
refl	10000000	4	3.56	3.59	0.02	0.02	BA
refl	10000000	5	3.57	3.54	0.02	0.02	AB
hostargs	10000000	1	1.99	2.00	0.03	0.02	AB
hostargs	10000000	2	1.98	1.98	0.03	0.02	BA
hostargs	10000000	3	1.99	1.99	0.03	0.02	AB
hostargs	10000000	4	1.99	1.99	0.03	0.02	BA
hostargs	10000000	5	1.98	2.00	0.03	0.02	AB
backtrace	2400000	1	1.11	1.11	0.03	0.02	AB
backtrace	2400000	2	1.12	1.13	0.03	0.02	BA
backtrace	2400000	3	1.11	1.11	0.03	0.02	AB
backtrace	2400000	4	1.12	1.12	0.03	0.02	BA
backtrace	2400000	5	1.11	1.13	0.03	0.02	AB
objdropdef	3000000	1	3.09	3.10	0.02	0.03	AB
objdropdef	3000000	2	3.09	3.08	0.02	0.03	BA
objdropdef	3000000	3	3.09	3.07	0.02	0.03	AB
objdropdef	3000000	4	3.10	3.09	0.02	0.03	BA
objdropdef	3000000	5	3.09	3.10	0.02	0.03	AB
objchurn	3000000	1	3.57	3.57	0.02	0.02	AB
objchurn	3000000	2	3.57	3.61	0.02	0.02	BA
objchurn	3000000	3	3.55	3.55	0.02	0.02	AB
objchurn	3000000	4	3.57	3.56	0.02	0.02	BA
objchurn	3000000	5	3.59	3.57	0.02	0.02	AB
objdatains	3000000	1	2.88	2.90	0.02	0.02	AB
objdatains	3000000	2	2.90	2.91	0.02	0.02	BA
objdatains	3000000	3	2.88	2.90	0.02	0.02	AB
objdatains	3000000	4	2.89	2.91	0.02	0.02	BA
objdatains	3000000	5	2.89	2.90	0.02	0.02	AB
objalloc	3000000	1	2.43	2.41	0.02	0.02	AB
objalloc	3000000	2	2.42	2.41	0.02	0.02	BA
objalloc	3000000	3	2.43	2.43	0.02	0.02	AB
objalloc	3000000	4	2.41	2.43	0.02	0.02	BA
objalloc	3000000	5	2.41	2.42	0.02	0.02	AB
objallocni	3000000	1	2.23	2.22	0.02	0.02	AB
objallocni	3000000	2	2.22	2.22	0.02	0.02	BA
objallocni	3000000	3	2.23	2.22	0.02	0.02	AB
objallocni	3000000	4	2.22	2.21	0.02	0.02	BA
objallocni	3000000	5	2.21	2.23	0.02	0.02	AB
objmap	3000000	1	0.37	0.38	0.03	0.02	AB
objmap	3000000	2	0.37	0.38	0.03	0.02	BA
objmap	3000000	3	0.37	0.39	0.03	0.02	AB
objmap	3000000	4	0.37	0.37	0.03	0.02	BA
objmap	3000000	5	0.37	0.37	0.03	0.02	AB
arith	150000000	1	7.03	7.08	0.02	0.02	AB
arith	150000000	2	7.00	7.03	0.02	0.02	BA
arith	150000000	3	7.03	7.06	0.02	0.02	AB
