mc2	20000000	1	3.46	3.41	0.02	0.02	AB
mc2	20000000	2	3.45	3.38	0.02	0.02	BA
mc2	20000000	3	3.41	3.38	0.02	0.02	AB
missload	10000000	1	2.85	2.85	0.02	0.03	AB
missload	10000000	2	2.78	2.85	0.02	0.03	BA
missload	10000000	3	2.85	2.86	0.02	0.03	AB
arrload	10000000	1	2.96	3.02	0.02	0.03	AB
arrload	10000000	2	2.94	3.02	0.02	0.03	BA
arrload	10000000	3	2.96	3.00	0.02	0.03	AB
strmap	10000000	1	1.05	1.02	0.02	0.02	AB
strmap	10000000	2	1.04	1.03	0.02	0.02	BA
strmap	10000000	3	1.03	1.03	0.02	0.02	AB
arrfilter	10000000	1	1.80	1.83	0.02	0.02	AB
arrfilter	10000000	2	1.80	1.83	0.02	0.02	BA
arrfilter	10000000	3	1.79	1.83	0.02	0.02	AB
arrmap	10000000	1	1.16	1.17	0.02	0.02	AB
arrmap	10000000	2	1.17	1.17	0.02	0.02	BA
arrmap	10000000	3	1.17	1.17	0.02	0.02	AB
refl	10000000	1	3.56	3.58	0.02	0.02	AB
refl	10000000	2	3.58	3.63	0.02	0.02	BA
refl	10000000	3	3.57	3.53	0.02	0.02	AB
hostargs	10000000	1	1.98	2.00	0.02	0.02	AB
hostargs	10000000	2	1.99	2.00	0.02	0.02	BA
hostargs	10000000	3	1.99	2.00	0.02	0.02	AB
backtrace	2400000	1	1.12	1.11	0.02	0.02	AB
backtrace	2400000	2	1.12	1.11	0.02	0.02	BA
backtrace	2400000	3	1.11	1.12	0.02	0.02	AB
objdropdef	3000000	1	3.11	3.11	0.02	0.02	AB
objdropdef	3000000	2	3.08	3.11	0.02	0.02	BA
objdropdef	3000000	3	3.09	3.09	0.02	0.02	AB
objchurn	3000000	1	3.59	3.62	0.02	0.02	AB
objchurn	3000000	2	3.54	3.57	0.02	0.02	BA
objchurn	3000000	3	3.55	3.61	0.02	0.02	AB
objdatains	3000000	1	2.91	2.91	0.02	0.02	AB
objdatains	3000000	2	2.89	2.94	0.02	0.02	BA
objdatains	3000000	3	2.91	2.91	0.02	0.02	AB
objalloc	3000000	1	2.42	2.46	0.03	0.02	AB
objalloc	3000000	2	2.42	2.43	0.03	0.02	BA
objalloc	3000000	3	2.43	2.44	0.03	0.02	AB
objallocni	3000000	1	2.21	2.21	0.02	0.02	AB
objallocni	3000000	2	2.21	2.21	0.02	0.02	BA
objallocni	3000000	3	2.25	2.24	0.02	0.02	AB
objmap	3000000	1	0.37	0.37	0.02	0.03	AB
objmap	3000000	2	0.37	0.41	0.02	0.03	BA
objmap	3000000	3	0.37	0.37	0.02	0.03	AB
arith	150000000	1	7.04	7.02	0.02	0.02	AB
arith	150000000	2	7.05	7.06	0.02	0.02	BA
arith	150000000	3	6.99	7.10	0.02	0.02	AB
prop	90000000	1	7.02	7.00	0.02	0.03	AB
prop	90000000	2	6.99	7.02	0.02	0.03	BA
prop	90000000	3	6.99	6.95	0.02	0.03	AB
calls	60000000	1	6.39	6.36	0.02	0.02	AB
calls	60000000	2	6.43	6.42	0.02	0.02	BA
calls	60000000	3	6.42	6.37	0.02	0.02	AB
str	28000000	1	4.42	4.46	0.03	0.03	AB
str	28000000	2	4.43	4.43	0.03	0.03	BA
str	28000000	3	4.44	4.42	0.03	0.03	AB
arr	30000000	1	4.50	4.53	0.02	0.02	AB
arr	30000000	2	4.50	4.50	0.02	0.02	BA
arr	30000000	3	4.48	4.54	0.02	0.02	AB
re	12000000	1	5.52	5.47	0.02	0.02	AB
re	12000000	2	5.50	5.46	0.02	0.02	BA
re	12000000	3	5.48	5.47	0.02	0.02	AB
